Datum export;20211201 09:13;;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NO2;uur;µg/m³;20211001 03:00;20211001 04:00;3.06;6.24;2.32;3.46;2.91;4.8;16.08;5.67;5.73;10.81;7.45;10.82;4.42;6.69;6.97;16.63;10.56;8.18;10.01;10.33;15.34;20.62;18.14;13.33;10.45;5.61;11.33;10.58;12.02;16.9;11;10.78;6.35;5.06;6.05;14.6;4.99;5.73;6.7;4.61;5.77;6.71;5.31
NO2;uur;µg/m³;20211001 04:00;20211001 05:00;3.79;7.12;2.11;4.51;3.58;7.92;12.43;6.21;6.67;14.42;7.63;12.56;4.95;11.22;8.49;17.35;11.04;8.79;8.14;11.7;16.11;16.18;18.72;25.15;11.89;6.05;10.44;9.61;12.93;27.11;10.18;9.29;6.24;5.09;7.06;15.78;4.78;5.27;7.07;4.49;5.3;6.57;5.25
NO2;uur;µg/m³;20211001 05:00;20211001 06:00;4.1;7.89;4.59;6.67;4.17;9.34;12.04;7.99;11.63;29.07;9.21;11.54;7.16;11.87;8.78;17.3;14.65;14.22;9.16;13.41;19.28;20.07;19.24;33.55;16.07;7.8;9.9;17.72;24.21;38.12;15.7;10.35;7.13;5.73;10.53;16.86;5.23;5.6;7.98;5.16;4.81;12.67;6.83
NO2;uur;µg/m³;20211001 06:00;20211001 07:00;5.79;8.48;8.4;8.78;6.69;8.71;14.65;10.76;16.39;26.31;15.92;17.98;9.05;13.26;9.85;21;17.34;14.17;12.42;16.55;23.35;22.78;21.16;33.38;19.51;8.97;9.84;22.15;24.88;36.06;17.24;11.2;8.14;7.96;15.56;22.48;6.94;7.03;8.23;6.46;5.63;17.98;10.04
NO2;uur;µg/m³;20211001 07:00;20211001 08:00;6.72;10.05;6.93;12.55;9.73;10.41;16.01;16.11;18.38;34.58;20.33;18.66;8.05;14.61;9.42;24.92;20.51;16.32;15.23;18.87;24.87;23.4;19.24;24.9;24.03;9.34;12.36;25.39;25.76;35.25;16.82;13.55;10.67;8.92;18.9;27.32;7.91;10.65;8.84;9.77;5.24;18.95;11.18
NO2;uur;µg/m³;20211001 08:00;20211001 09:00;5.88;11.16;4.84;9.65;6.82;11.16;14.18;12.09;13.94;30.67;15.23;14.48;8.78;13.69;9.44;20.1;23.51;19.93;15.36;18.25;22.58;20.55;18.44;23.29;21.58;8.66;11.97;23.6;24.06;21.33;16.66;12.95;12.99;8.8;18.23;24.64;6.89;9.39;8.64;10.1;5.39;21.45;8.79
NO2;uur;µg/m³;20211001 09:00;20211001 10:00;5.19;9.22;4.53;9.27;6.16;7.06;13.44;10.57;13.96;26.36;15.08;16.32;7.7;11.3;9.95;16.73;21.69;13.85;13.98;14.82;20.41;17.74;17.69;27.01;18.31;7.93;11.8;21.25;22.43;26.75;15.54;12.03;12.62;8.89;17.98;23.2;6.91;6.76;8.99;9.52;5.39;17.18;7.75
NO2;uur;µg/m³;20211001 10:00;20211001 11:00;4.44;8.79;4.56;10.07;5.15;6.88;11.89;9.78;13.93;30.56;15.49;13.19;7.19;13.73;8.56;18.33;19.92;14.58;13.55;14.91;21.26;16.53;15.63;24.56;18.89;7.89;10.85;20.23;20.84;24.01;13.28;12.02;11.75;8.34;18.79;22.71;7.1;7.04;8.67;6.36;5.24;20.44;7.04
NO2;uur;µg/m³;20211001 11:00;20211001 12:00;3.39;6.46;3.04;10.69;4.07;5.18;10.09;8.6;14.7;24.42;12.9;12.92;6.35;11.42;6.21;19.34;27.56;14.67;13.46;14.59;20.74;17.67;17.94;22.52;20.26;7.01;11.92;24.15;24.09;28.55;15.99;11.35;9.59;9.78;16.49;19.11;7.6;5.37;8.94;6.31;4.52;17.28;6.96
NO2;uur;µg/m³;20211001 12:00;20211001 13:00;2.9;4.38;3.23;8.34;4.09;5.28;9.87;9.38;14.17;24.99;10.43;12.29;6.42;9.6;6.21;19.33;22.84;12.78;9.34;14.54;22.8;18.27;19.11;24.07;21.24;8.48;12.13;25.58;25.81;36.9;15.54;10.38;8.25;6.01;15.7;17.45;5.4;6.04;8.24;7.42;4.92;20.64;6.71
NO2;uur;µg/m³;20211001 13:00;20211001 14:00;3.53;4.8;3.76;10.72;4.18;4.61;11.69;8.77;17.16;14.62;10.61;11.31;5.93;9.24;6.91;17.89;18.12;8.35;9.99;15.84;21.75;16.29;16.71;27.15;22.68;8.77;9.98;23.87;30.04;30.82;13.92;7.71;6.88;5.82;17.15;15.85;5.36;9.51;8.69;8.77;5.07;18.47;7.65
NO2;uur;µg/m³;20211001 14:00;20211001 15:00;4.08;4.72;4.34;9.84;4.05;5.23;11.03;10.72;18.81;25.52;11.83;8.89;6.09;10.99;8.69;22.87;18.49;7.14;10.02;15.37;27.65;19.73;21.63;26.54;22.4;6.57;11.66;27.92;24.49;23.08;12.09;6.41;5.61;6.42;21.48;12.5;4.97;8.05;9.33;8.34;5.3;27.47;10.79
NO2;uur;µg/m³;20211001 15:00;20211001 16:00;4.94;5.64;4.91;13.94;5.99;5.77;11.54;10.62;20.89;26.68;11.77;12.62;6.46;14.05;11.63;27.36;20.11;9.3;10.4;16.51;27.91;21.22;20.09;37.27;24.77;6.47;12.3;24.24;20.69;28.34;11.94;6.84;8.42;8.84;16.02;10.74;5.15;6.21;8.1;10.35;6.73;23.38;12.17
NO2;uur;µg/m³;20211001 16:00;20211001 17:00;9.85;6.73;6.94;15.67;7.23;5.75;14.51;12.03;21.82;35.9;15.95;13.26;7.59;16.38;10.51;24.35;20.36;15.11;11.52;16.58;27.94;20.88;25.31;31.55;19.72;6.98;11.38;29.78;31.66;27.94;14.76;8.94;9.14;8;22.68;16.47;5.82;6.9;8.85;6.89;6.36;22.48;9.45
NO2;uur;µg/m³;20211001 17:00;20211001 18:00;9.77;7.01;5.49;14.63;8.23;6.03;18.1;11.63;19.05;34.5;16.9;12.58;8.52;11.16;10.66;25.27;20.41;14.85;12.62;17.02;29.36;22.55;23.35;27.44;22.83;9.29;9.76;26.87;26.52;28.01;16.57;12.65;9.33;7.12;19.47;16.68;5.55;6.12;9.11;6.86;5.81;29.29;10.44
NO2;uur;µg/m³;20211001 18:00;20211001 19:00;7.32;7.32;6.18;11.51;7.06;6.75;19.57;12.85;20.71;33.59;17.69;15.46;10.93;10.97;10.25;20.31;18.2;11.22;13.77;16.19;28.44;17.26;25.61;27.53;18.57;7.64;11.71;20.65;22.48;34.75;15.26;12.75;9.08;8.23;14.79;16.8;6.18;6.53;8;5.44;5.21;18.59;7.97
NO2;uur;µg/m³;20211001 19:00;20211001 20:00;5.88;8.74;5.14;10.54;6.81;7.1;20.02;12.83;18.25;20.82;14.36;13.96;10.23;10.36;8.61;19.34;18.59;11.4;14.18;14.22;28.01;16.62;24.3;20.81;17.69;6.54;13.01;18.19;19.74;25.84;14.3;10.81;8.22;8.16;18.72;19.98;6.67;5.84;7.18;5.43;4.42;13.94;7.42
NO2;uur;µg/m³;20211001 20:00;20211001 21:00;6.97;7.33;4.47;7.39;6.42;5.98;17.91;10.41;14.8;14.92;12.84;13.72;8.49;9.87;6.99;18.03;17.12;9.87;13.36;14.11;24.12;18.26;26.42;22.04;14.85;7.73;13.75;16.94;18.28;22.38;13.5;9.9;8.42;7.67;15.1;19.17;5.32;6.35;7.36;5.89;4.3;12.54;6.24
NO2;uur;µg/m³;20211001 21:00;20211001 22:00;5.82;6.81;3.85;8.39;6.72;4.99;19.88;10.24;11.74;14.23;11.61;14.87;7.51;7.67;7.34;14.63;18.99;8.97;14.41;9.61;20.7;12.03;18.66;26.1;12.91;7.56;10.9;16.17;16.73;22.22;12.74;10.48;7.75;7.43;12.85;18.13;6.02;6.24;7.58;6.08;4.05;10.93;6.41
NO2;uur;µg/m³;20211001 22:00;20211001 23:00;5.69;6.68;3.51;6.16;4.95;4.58;17.2;8.63;11.11;11.95;11.07;11.33;7.05;10.54;8.59;17.72;22.11;9.33;15.82;3.15;22.67;14.71;16.83;21.3;17.27;7.15;9.06;15.12;15.06;19.66;12.08;12.29;9.6;7.01;11.4;16.99;5.54;6.24;8.34;5.12;4.51;10.66;5.41
NO2;uur;µg/m³;20211001 23:00;20211002 00:00;3.67;5.53;2.44;4.49;3.88;5.11;15.89;7.74;13.13;14.51;11.48;7.14;6.39;9.14;9.82;16.61;31.07;10;16.53;4.71;23.28;23.86;21.18;20.84;11.19;7.4;8.28;14.46;15.22;17.31;12.18;12.02;8.33;6.44;10.71;17.54;5.48;7.62;3.79;5;4.87;10.82;5.55
NO2;uur;µg/m³;20211002 00:00;20211002 01:00;3.86;4.53;2.27;3.3;2.53;4.88;11.32;7.7;9.2;11.03;12.33;9.11;5.37;10.17;7.04;12.3;23.52;9.09;12.79;4.71;26.8;19.82;22.75;5.11;10.49;8.48;8.28;14.47;16.57;12.25;12.81;12.54;7.73;6.3;8.29;14.42;5.07;6.22;3.29;;5.22;10.28;5.87
NO2;uur;µg/m³;20211002 01:00;20211002 02:00;5.62;4.33;1.99;2.68;2.7;5.24;14.49;7.75;7.85;11.72;13.82;8.25;5;11.12;5.64;12.5;31.83;7.15;11.79;6.79;34.03;24.65;27.58;8.25;13.18;7.11;11.99;12.85;14.23;13.99;11.88;10.33;6.82;5.65;7.09;13.27;4.86;6.1;3.19;;4.06;10.05;5.58
NO2;uur;µg/m³;20211002 02:00;20211002 03:00;5.37;4.29;2.3;2.47;2.41;5.12;12.46;6.67;8.29;11.09;13.13;9.36;4.87;19.88;5.41;21.43;40.26;6.82;11.62;8.68;30.8;26.05;34.63;17.68;10.82;8.34;11.79;11.67;13.73;14.7;11.2;11.18;5.78;6.89;6.88;12.63;5.08;6.47;3.83;;3.69;7.33;5.21
NO2;uur;µg/m³;20211002 03:00;20211002 04:00;6.38;4.54;2.6;3.07;2.02;5.38;15.11;6.25;7.91;10.85;12.5;9.05;5.02;16.58;6.15;33.75;26.2;8.56;13.3;9.99;39.06;31.72;37.74;32.59;9.44;8.72;12.72;12.32;17.27;17.17;10.92;11.18;5.97;7.19;6.67;12.7;4.88;6.02;3.98;;3.71;7.1;5.37
NO2;uur;µg/m³;20211002 04:00;20211002 05:00;5.72;6.83;2.08;2.97;2.12;4.86;21.53;6.41;9.3;10.93;12.55;12.85;5.43;17.35;7.38;48.41;20.78;9.51;15.79;11.88;48.07;31.09;41.81;64.32;9.44;8.81;10.89;13.09;17.82;22.06;12.54;12.19;5.73;7.76;7.31;13.56;4.82;6.96;3.49;;2.76;7.52;4.6
NO2;uur;µg/m³;20211002 05:00;20211002 06:00;4.62;5.57;2.69;4.51;2.96;7.09;24.15;7.02;11.08;12.58;12.77;15.66;6.2;12.68;8.72;56.28;18.29;18.29;21.17;15.95;46.26;35.78;36.58;53.66;14.83;8.66;10.67;15.6;16.83;30.52;14.09;13.25;6.67;8;9.6;12.67;5.42;7.81;3.9;;2.54;10.55;6.44
NO2;uur;µg/m³;20211002 06:00;20211002 07:00;4.51;6.82;3.5;9.58;4.99;8.34;18.6;8.91;14.79;23.35;13.29;25.58;8.11;10.27;10.06;46.64;22.75;18.11;20.83;26.89;38.41;38.8;30.28;54.08;30.32;12.24;15.25;19.56;21.88;27.51;15.6;17.41;5.98;8.56;11.59;14.8;5.83;8.36;5.64;;2.79;12.64;6.3
NO2;uur;µg/m³;20211002 07:00;20211002 08:00;5.04;9.29;5.1;11.05;6.35;6.83;19.5;8.43;13.23;21.78;17.13;24.74;8.4;12.78;13.26;37.95;22.03;18.76;25.15;33.41;30.78;30.25;33.41;39.26;31.33;9.16;19.58;22.37;25.96;26.37;19.89;19.91;5.56;10.51;11.05;14.55;6.59;8.98;9.85;;4.63;13.36;6.71
NO2;uur;µg/m³;20211002 08:00;20211002 09:00;5.94;8.72;4.4;10.91;5.97;6.59;25.52;8.29;12.17;20.63;13.93;16.94;8.49;15.18;14.54;33.96;21.2;18.04;19.84;23.39;30.35;29.03;30.09;18.33;23.04;10.34;17.42;24.4;24.26;26.68;18.25;17.18;5.91;7.8;12.56;15.15;6.67;7.58;7.79;;4.39;18.34;7.35
NO2;uur;µg/m³;20211002 09:00;20211002 10:00;4.66;7.17;4.32;11.4;5.19;5.61;15.99;10.52;11.58;20.51;11.7;10.99;7.2;8.02;8.2;25.36;22.94;19.22;11.89;21.06;28.88;23.22;21.22;12.75;23.25;10.29;18.7;24.2;24.28;25.69;15.62;14.92;5.67;6.74;11.08;13.76;5.56;7.25;6.81;;3.49;13.21;5.53
NO2;uur;µg/m³;20211002 10:00;20211002 11:00;4.26;6.79;4.51;7.91;3.57;6.78;8.6;11.83;11.6;18.42;9.38;7.88;6.76;7.71;4.9;25.63;20.24;12.22;6.28;16.52;25.23;24.46;21.21;12.44;17.37;6.94;12.13;18.68;16.26;17.88;10.83;7.57;7.1;5.27;12.83;11.94;3.95;6.27;7.3;;2.94;15.05;3.99
NO2;uur;µg/m³;20211002 11:00;20211002 12:00;3.88;6.81;3.62;6.18;2.96;7.57;10.65;12.71;11.4;19.28;8.25;8.51;5.6;7.71;4.99;24.11;17.78;10.35;7.31;19.19;26.2;24.26;14.28;12.08;24.33;5.49;5.64;18.09;16.66;11.74;8.86;6.68;5.67;3.98;11.26;10.53;3.55;4.14;8.46;;2.67;12.75;4.28
NO2;uur;µg/m³;20211002 12:00;20211002 13:00;4.2;5.93;3.04;6.51;2.62;7.15;12.25;12.21;10.37;16.79;5.92;6.51;5.07;6.37;5.26;13.29;16.67;8.79;6.5;14.28;15.39;11.99;10.17;15.38;17.89;4.93;5.47;18.66;18.16;12.89;8.32;5.72;5.7;4.53;11.3;9.71;4.36;3.9;6.88;;2.59;13.73;3.99
NO2;uur;µg/m³;20211002 13:00;20211002 14:00;4.69;5.28;2.37;6.83;2.57;7.47;8.03;10.11;8.86;16.42;6.01;5.12;4.08;5.53;8.63;14.97;18.64;8.4;7.04;11.23;16.28;13.34;19.06;10.42;15.38;4.62;5.22;16.58;14.38;6.84;7.24;4.94;6.92;4.43;10.18;8.79;3.95;5.23;5.14;;2.99;15.97;4.73
NO2;uur;µg/m³;20211002 14:00;20211002 15:00;2.75;4.06;2.61;6.64;2.67;6.16;6.98;11.62;10.15;17.48;5.91;5.05;4.74;3.53;10.39;21.15;16.87;7.85;7.39;10.65;22.06;19.66;20.71;8.39;15.02;4.29;5.75;19.54;15.11;12.33;8.8;5.87;13.34;5.66;13.95;9.37;3.4;5.32;3.76;;3.02;15.06;3.86
NO2;uur;µg/m³;20211002 15:00;20211002 16:00;6.13;4.11;3.69;10.53;3.99;5.83;6.58;11;7.87;15.92;6.37;5.09;5.02;5.99;7.59;26.57;22.01;6.61;7.46;10.92;28.07;21.91;21.32;11.61;14.25;5.58;6.74;25.24;19.85;13.44;10.06;9.86;13;6.41;12.51;10.23;8.93;5.61;4.99;;3.46;15.08;4.59
NO2;uur;µg/m³;20211002 16:00;20211002 17:00;4.16;4.81;3.25;10.23;3.53;4.61;4.9;11.85;9.4;18.07;5.69;4.65;5.12;6.49;5.48;36.82;18.08;4.35;5.74;9.98;24.67;18.52;28.82;11.51;16.03;6.05;7.62;25.63;19.45;15.37;11.1;6.58;11.9;7.12;9.81;8.48;12.51;7.18;5.55;;3.97;16.18;4.92
NO2;uur;µg/m³;20211002 17:00;20211002 18:00;5.15;7.88;3.96;9.51;4.27;5.74;4.92;14.45;11.87;18;6.48;5.73;5.88;7.09;6.38;27.42;14.32;5.5;5.35;8.41;19.86;12.83;13.34;6.86;14.09;6.45;5.69;18.25;10.81;9.69;8.56;5.13;10.17;5.51;12.91;11.7;11.48;12.17;6.66;;4.99;21.97;8.23
NO2;uur;µg/m³;20211002 18:00;20211002 19:00;5.4;7.54;4.07;9.71;4.61;6.5;4.75;12.97;13.28;15.39;6.44;5.18;5.99;12.36;13.93;22.13;11.91;10.21;5.62;6.09;12.62;8.36;25.76;5.33;9.85;6.03;5.75;14.83;11.69;7.84;8.52;6.25;9.56;5.18;14.04;11.9;10.45;9.08;7.94;;7.79;21.34;10.15
NO2;uur;µg/m³;20211002 19:00;20211002 20:00;5.03;7.74;3.99;6.28;3.41;3.75;4.41;11.25;11.76;8.66;4.71;4.01;6.06;7.67;4.93;17.7;9.23;5.85;4.65;5.42;11.36;8.21;17.34;4.03;8.09;4.81;5.56;10.43;10.59;6.24;9.02;5.03;8.97;5.78;12.08;13.17;9.99;11.13;5.59;;6.92;13.87;7.56
NO2;uur;µg/m³;20211002 20:00;20211002 21:00;4.44;6.71;2.26;3.59;2.68;2.9;4.73;8.72;8.41;5.35;3.33;2.08;4.94;3.57;2.75;10.64;6.98;2.35;3.03;4.86;9.54;7.69;16.22;3.72;5.89;5.65;4.04;8.67;6.49;7.54;6.44;3.65;6.57;5.05;8.66;10.24;8.88;10.17;5.4;;5.88;13.27;6.47
NO2;uur;µg/m³;20211002 21:00;20211002 22:00;2.3;5;1.63;2.72;1.97;3.18;11.97;5.41;5.06;4.78;3.25;2.23;2.87;5.05;2.13;10.64;6.52;3.58;2.85;4.47;10.8;9.35;13.74;3.55;3.91;3.9;3.1;6.86;5.91;5.4;4.98;3.02;5.08;3.86;6.38;9.37;6.09;7.7;5.14;;4.5;13.07;5.45
NO2;uur;µg/m³;20211002 22:00;20211002 23:00;2.59;2.95;1.54;2.75;1.78;2.4;12.11;3.37;4.19;4.8;2.66;2.45;1.9;4.77;2.28;9.64;7.36;5.65;2.51;5.62;9.53;8.24;9.04;3.95;4.63;3.46;3;6.21;5.28;3.77;3.96;2.51;6.08;4.97;6.68;10.17;6.09;5.36;2.66;;3.85;6.66;5.05
NO2;uur;µg/m³;20211002 23:00;20211003 00:00;2.39;2.25;1.43;2.04;1.4;2.65;9.43;3.62;4.31;5.56;2.51;2.85;1.93;5.21;2.69;6.32;7;4.79;2.38;6.49;9.17;7.82;10.06;3.85;5.24;3.12;2.78;4.8;4.86;6.3;4.11;2.73;9.49;2.56;6.15;7.85;7.41;4.76;2.74;;3.26;7.26;4.2
NO2;uur;µg/m³;20211003 00:00;20211003 01:00;2.52;3.31;1.41;1.77;1.65;1.95;7.2;2.69;3.05;3.68;3.41;6.28;1.87;3.86;1.68;9.23;4.94;2.34;3.33;5.93;7.12;10.03;9.08;3.28;4.32;1.8;3.32;4.41;4.05;5.38;3.35;3.32;5.04;1.99;4.33;8.22;3.54;3.41;1.71;;2.83;4.54;4.34
NO2;uur;µg/m³;20211003 01:00;20211003 02:00;2.27;3.1;1.15;1.93;1;1.79;7.74;2.37;2.79;3.46;2.67;1.79;1.64;3.49;1.11;7.49;7.14;2.23;5.49;6.03;7.35;9.69;12.75;4.18;4.1;1.72;4.94;4.45;3.43;5.05;3.26;2.61;3.31;2.02;3.5;7.5;2.4;1.61;1.68;;2.82;4.61;4.23
